Name,Total_Count,Dominant_Gender,Origin_Region
Willis,52488,M,Anglo
Estelle,52335,F,Anglo
Traci,52293,F,Anglo
Colby,52245,M,Anglo
Donovan,52221,M,Anglo
Kelley,51978,F,Anglo
Arturo,51970,M,Anglo
Lora,51882,F,Anglo
Nadine,51757,F,Anglo
Damien,51735,M,Anglo
Janelle,51455,F,Anglo
Tommie,51315,M,Anglo
Archie,51062,M,Anglo
Olive,50962,F,Anglo
Leonardo,50821,M,Anglo
Alana,50785,F,Anglo
Kellie,50783,F,Anglo
Leland,50726,M,Anglo
Cristina,50638,F,Anglo
Caitlyn,50600,F,Anglo
Henrietta,50592,F,Anglo
Alec,50566,M,Anglo
Cara,50452,F,Anglo
Juliana,50326,F,Anglo
Kenny,50293,M,Anglo
Lacey,50289,F,Anglo
Edmund,50248,M,Anglo
Rosemarie,50129,F,Anglo
Mikayla,50052,F,Anglo
Sallie,49827,F,Anglo
Jordyn,49526,F,Anglo
Nettie,49333,F,Anglo
Gerardo,49313,M,Anglo
Johanna,49309,F,Anglo
Lilly,49252,F,Anglo
Randolph,49214,M,Anglo
Conner,49102,M,Anglo
Darius,49097,M,Anglo
Nick,49026,M,Anglo
Grayson,48974,M,Anglo
Janis,48822,F,Anglo
Kelvin,48776,M,Anglo
Trent,48734,M,Anglo
Annabelle,48669,F,Anglo
May,48527,F,Anglo
Carlton,48490,M,Anglo
Jaclyn,48475,F,Anglo
Allyson,48445,F,Anglo
Bryant,48441,M,Anglo
Lana,48403,F,Anglo
Alejandra,48104,F,Anglo
Marisa,48078,F,Anglo
Michaela,47997,F,Anglo
Rudy,47992,M,Anglo
Betsy,47976,F,Anglo
Jace,47898,M,Anglo
Shelia,47810,F,Anglo
Raquel,47765,F,Anglo
Forrest,47653,M,Anglo
Garry,47577,M,Anglo
Mya,47434,F,Anglo
Allie,47384,F,Anglo
Eula,47375,F,Anglo
Jaxon,47245,M,Anglo
Hayley,47134,F,Anglo
Benny,46996,M,Anglo
