Name,Total_Count,Dominant_Gender,Origin_Region
Bonnie,326970,F,Anglo
Phyllis,323161,F,Anglo
Abigail,322051,F,Anglo
Bobby,321844,M,Anglo
Anne,320300,F,Anglo
Noah,319298,M,Anglo
Erin,318888,F,Irish_Italian
Gabriel,313721,M,Anglo
Francis,312147,M,Anglo
Johnny,312033,M,Anglo
Charlotte,312022,F,Anglo
Tracy,311482,F,Anglo
Victor,309757,M,Anglo
Phillip,306419,M,Anglo
Logan,303797,M,Anglo
Clarence,303769,M,Anglo
Martin,303714,M,Anglo
Ernest,302004,M,Anglo
Angel,301425,M,Latin
Travis,299485,M,Anglo
Bradley,299392,M,Anglo
Stanley,299145,M,Anglo
Craig,298912,M,Anglo
Dale,298378,M,Anglo
Josephine,297064,F,Anglo
Alyssa,296741,F,Anglo
Edna,294989,F,Anglo
Peggy,293311,F,Anglo
Tina,291899,F,Anglo
Lee,291691,M,Asian
Leonard,291083,M,Anglo
Earl,290364,M,Anglo
Dawn,289628,F,Anglo
Sophia,287751,F,Anglo
Jimmy,286717,M,Anglo
Allison,284603,F,Anglo
Cody,283314,M,Anglo
Rita,283172,F,Anglo
Danny,282227,M,Anglo
Todd,281900,M,Anglo
Wanda,281893,F,Anglo
Ethel,280116,F,Anglo
Courtney,278591,F,Anglo
Norma,278376,F,Anglo
Cameron,278335,M,Anglo
Carlos,278221,M,Latin
Paula,277892,F,Anglo
Isabella,275236,F,Latin
Jessie,274931,F,Anglo
Ella,273663,F,Anglo
Connie,273055,F,Anglo
Ellen,272422,F,Anglo
Marjorie,271893,F,Anglo
Alex,269541,M,Anglo
Clara,268980,F,Anglo
Eleanor,268153,F,Anglo
Gladys,267020,F,Anglo
Carrie,266508,F,Anglo
Allen,266094,M,Anglo
Edith,264833,F,Anglo
Audrey,263873,F,Anglo
Luis,260819,M,Latin
Wendy,260766,F,Anglo
Frederick,260232,M,Anglo
Joel,260060,M,Anglo
Marion,259549,F,Anglo
Curtis,258765,M,Anglo
Elaine,256481,F,Anglo
Cindy,256257,F,Anglo
Nathaniel,253742,M,Anglo
Caleb,253220,M,Anglo
Norman,252867,M,Anglo
Valerie,252619,F,Anglo
Eva,252465,F,Anglo
Esther,250668,F,Anglo
Marvin,250552,M,Anglo
Evan,249753,M,Anglo
Tony,249680,M,Anglo
Glenn,249210,M,Anglo
Vanessa,248564,F,Anglo
Monica,247274,F,Anglo
Morgan,246320,F,Anglo
Isaac,246315,M,Anglo
Rodney,245449,M,Anglo
Hazel,244069,F,Anglo
Dana,243517,F,Anglo
Melvin,243449,M,Anglo
Alfred,242145,M,Anglo
Brianna,241577,F,Anglo
Elijah,241239,M,Anglo
Steve,240473,M,Anglo
Chad,239849,M,Anglo
Antonio,239612,M,Latin
Sheila,238205,F,Anglo
Edwin,238135,M,Anglo
Sylvia,238071,F,Anglo
Jasmine,237642,F,Anglo
April,236374,F,Anglo
Melanie,234149,F,Anglo
Katie,233801,F,Anglo
Lynn,233758,F,Anglo
Luke,232494,M,Anglo
Sherry,230447,F,Anglo
Erica,229859,F,Anglo
Jeffery,229346,M,Anglo
Herbert,228615,M,Anglo
Mason,227887,M,Anglo
Adrian,226908,M,Anglo
Pauline,226489,F,Anglo
Thelma,226278,F,Anglo
Michele,225522,F,Anglo
Derek,225160,M,Anglo
Eddie,223873,M,Anglo
Alexandra,223746,F,Anglo
Marcus,223605,M,Anglo
Alicia,222834,F,Latin
Theodore,222389,M,Anglo
Ricky,220995,M,Anglo
Lucille,220572,F,Anglo
Jesus,219292,M,Latin
Suzanne,219090,F,Anglo
Kristen,218877,F,Anglo
Hunter,216896,M,Anglo
Veronica,215623,F,Anglo
Kim,214158,F,Asian
Anita,213995,F,Anglo
Dolores,212164,F,Latin
Caroline,211595,F,Anglo
Joanne,211473,F,Anglo
Geraldine,210735,F,Anglo
Gail,210495,F,Anglo
Troy,210002,M,Anglo
Lorraine,209035,F,Anglo
Rhonda,208460,F,Anglo
Bertha,208444,F,Anglo
Jill,208303,F,Anglo
Juanita,207819,F,Anglo
Ian,207452,M,Anglo
Ray,206420,M,Anglo
Leah,205531,F,Anglo
Dustin,204529,M,Anglo
Mike,204410,M,Anglo
Wesley,204382,M,Anglo
Darlene,204162,F,Anglo
Sally,203643,F,Anglo
Ava,202253,F,Anglo
Lucas,201968,M,Anglo
Holly,199496,F,Anglo
Bernard,199400,M,Anglo
Leroy,199310,M,Anglo
Vivian,198012,F,Anglo
Randall,197826,M,Anglo
Jared,197429,M,Anglo
Jackson,195384,M,Anglo
Calvin,193383,M,Anglo
Oscar,193271,M,Latin
June,191604,F,Anglo
Beatrice,189624,F,Anglo
Jayden,189220,M,Anglo
Jay,188756,M,Anglo
